epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.899,1.34024,4.86396,1.43292,0,0,0,0,0.49219,5.19958,1.23726,1.61e-05,1.61e-05,1.61e-05
2,205.398,1.30611,4.80384,1.42423,0,0,0,0,0.49698,5.20426,1.22268,3.31406e-05,3.31406e-05,3.31406e-05
3,278.683,1.25646,4.74652,1.40313,0,0,0,0,0.4974,5.21121,1.22399,4.94798e-05,4.94798e-05,4.94798e-05
4,352.232,1.17943,4.68928,1.31712,0,0,0,0,0.51534,5.23356,1.23373,6.51177e-05,6.51177e-05,6.51177e-05
5,424.196,1.1204,4.57814,1.25447,0,0,0,0,0.52889,5.22614,1.24317,8.00544e-05,8.00544e-05,8.00544e-05
6,497.428,1.12516,4.42396,1.26696,0,0,0,0,0.54103,5.23883,1.24028,9.42897e-05,9.42897e-05,9.42897e-05
7,593.785,1.11839,4.29289,1.25731,0,0,0,0,0.56478,5.1953,1.24432,0.000107824,0.000107824,0.000107824
8,690.595,1.09942,4.12361,1.28538,0,0,0,0,0.60158,5.16339,1.25513,0.000120656,0.000120656,0.000120656
9,760.592,1.13174,4.00828,1.27332,0.0119,0.01389,0.00773,0.00464,0.61905,5.13886,1.26202,0.000132788,0.000132788,0.000132788
10,833.863,1.09616,3.90741,1.24532,0.01903,0.09722,0.01301,0.00902,0.61809,5.08593,1.26352,0.00013231,0.00013231,0.00013231
11,908.786,1.07526,3.85527,1.24343,0.02105,0.14167,0.02912,0.01851,0.6587,5.01501,1.26483,0.000129122,0.000129122,0.000129122
12,978.967,1.09221,3.75871,1.25145,0.01755,0.15833,0.04212,0.03141,0.64875,4.95737,1.26963,0.000125934,0.000125934,0.000125934
13,1048.91,1.10187,3.78146,1.25658,0.01676,0.21389,0.0456,0.03442,0.62259,4.91118,1.2613,0.000122746,0.000122746,0.000122746
14,1119.68,1.06579,3.57046,1.2578,0.11559,0.38611,0.13094,0.10916,0.61914,4.8776,1.24992,0.000119559,0.000119559,0.000119559
15,1190.85,1.11104,3.50551,1.23705,0.11907,0.43056,0.15437,0.12444,0.61377,4.81918,1.23781,0.000116371,0.000116371,0.000116371
16,1260.73,1.08612,3.44911,1.25316,0.11421,0.40972,0.1607,0.13307,0.61729,4.79202,1.22494,0.000113183,0.000113183,0.000113183
17,1329.65,1.09185,3.35784,1.26967,0.75,0.05174,0.17071,0.14166,0.62346,4.75521,1.23037,0.000109995,0.000109995,0.000109995
18,1399.32,1.04882,3.31482,1.22951,0.11007,0.45833,0.16644,0.14339,0.65584,4.74988,1.24502,0.000106807,0.000106807,0.000106807
19,1471.82,1.09052,3.27102,1.24573,0.11323,0.47917,0.16976,0.1486,0.63046,4.76144,1.22845,0.00010362,0.00010362,0.00010362
20,1545.4,1.05085,3.21722,1.22582,0.08085,0.39444,0.14701,0.13224,0.59706,4.81553,1.21377,0.000100432,0.000100432,0.000100432
21,1615.54,1.08183,3.17016,1.24539,0.07758,0.33889,0.1406,0.12467,0.6092,4.82624,1.2192,9.7244e-05,9.7244e-05,9.7244e-05
22,1687.37,1.05013,3.10596,1.22786,0.10323,0.32222,0.14363,0.12258,0.63326,4.80849,1.25732,9.40562e-05,9.40562e-05,9.40562e-05
23,1757.49,1.08964,3.06365,1.24296,0.09028,0.39722,0.14459,0.12317,0.66079,4.75368,1.27701,9.08684e-05,9.08684e-05,9.08684e-05
24,1826.55,1.02437,2.93594,1.22144,0.0945,0.50833,0.15199,0.13118,0.6645,4.71266,1.27804,8.76806e-05,8.76806e-05,8.76806e-05
25,1895.6,1.02291,2.91062,1.22909,0.09378,0.51528,0.15257,0.13109,0.65536,4.71125,1.26989,8.44928e-05,8.44928e-05,8.44928e-05
26,1964.3,1.00255,2.93182,1.22208,0.10525,0.54306,0.16673,0.13175,0.65032,4.69566,1.27537,8.1305e-05,8.1305e-05,8.1305e-05
27,2034.59,1.05851,2.7863,1.24696,0.10654,0.50278,0.17481,0.14213,0.65228,4.69285,1.27371,7.81172e-05,7.81172e-05,7.81172e-05
28,2104.92,1.05018,2.78528,1.23237,0.09006,0.47222,0.19893,0.15991,0.65011,4.68921,1.26626,7.49294e-05,7.49294e-05,7.49294e-05
29,2175.75,1.04316,2.71155,1.1953,0.09517,0.49306,0.20036,0.16332,0.64273,4.69853,1.25371,7.17416e-05,7.17416e-05,7.17416e-05
30,2248.54,1.07747,2.83856,1.22118,0.073,0.49583,0.2057,0.16964,0.63697,4.67871,1.2486,6.85538e-05,6.85538e-05,6.85538e-05
31,2320.01,1.04104,2.70094,1.23518,0.07747,0.52917,0.20776,0.17266,0.64032,4.62918,1.25254,6.5366e-05,6.5366e-05,6.5366e-05
32,2391.27,1.0629,2.68265,1.20852,0.07867,0.59861,0.21417,0.17898,0.64236,4.60547,1.26985,6.21782e-05,6.21782e-05,6.21782e-05
33,2461.07,1.04304,2.60684,1.20726,0.06788,0.59861,0.21561,0.17651,0.63082,4.58772,1.25992,5.89904e-05,5.89904e-05,5.89904e-05
34,2531.25,1.0331,2.64175,1.2128,0.06341,0.56389,0.21304,0.17989,0.62182,4.57421,1.2501,5.58026e-05,5.58026e-05,5.58026e-05
